JerseyNo,Date,TRB,AST,STL,PTS
7,2018-04-11,0,0,0,0
2,2017-10-18,0,0,1,3
2,2017-10-21,3,1,1,8
2,2017-10-23,2,2,1,20
2,2017-10-25,1,1,0,0
2,2017-10-28,1,0,0,3
2,2017-10-30,0,0,0,0
2,2017-11-01,2,4,1,6
2,2017-11-03,3,2,0,0
2,2017-11-05,1,2,0,17
2,2017-11-06,1,1,1,9
2,2017-11-08,3,0,0,15
2,2017-11-10,1,0,0,5
2,2017-11-12,1,1,0,6
2,2017-11-15,0,0,0,3
2,2017-11-17,3,0,0,4
2,2017-11-19,2,0,1,21
2,2017-11-22,5,1,0,9
2,2017-11-24,3,1,0,21
2,2017-11-26,2,2,1,19
2,2017-11-28,2,3,2,0
2,2017-11-29,1,0,2,3
2,2017-12-01,4,1,2,14
2,2017-12-03,3,2,0,9
2,2017-12-06,1,0,1,6
2,2017-12-09,3,0,2,9
2,2017-12-11,2,1,0,12
2,2017-12-13,4,0,2,24
2,2017-12-15,3,1,1,16
2,2017-12-16,3,2,0,9
2,2017-12-18,6,1,0,6
2,2017-12-20,6,1,0,9
2,2017-12-22,3,0,0,28
2,2017-12-23,3,1,0,13
2,2017-12-26,6,1,2,18
2,2017-12-29,2,0,0,7
2,2017-12-30,4,1,0,12
2,2018-01-03,8,1,2,12
2,2018-01-05,4,0,1,24
2,2018-01-07,3,0,2,9
2,2018-01-09,3,2,1,15
2,2018-01-10,5,2,0,15
2,2018-01-14,5,2,0,7
2,2018-01-15,5,1,0,20
2,2018-01-17,5,4,0,11
2,2018-01-19,3,1,2,10
2,2018-01-20,0,3,1,26
2,2018-01-22,5,2,0,13
2,2018-01-25,4,0,1,20
2,2018-01-27,2,1,0,17
2,2018-01-29,3,0,1,9
2,2018-01-31,6,1,0,0
2,2018-02-02,0,0,1,16
2,2018-02-03,5,1,2,11
2,2018-02-05,3,2,0,5
2,2018-02-07,0,0,0,0
2,2018-02-09,3,1,0,11
2,2018-02-13,7,1,0,15
2,2018-02-14,2,1,1,8
2,2018-02-23,3,0,1,6
2,2018-02-24,2,5,1,15
2,2018-02-27,1,0,0,2
2,2018-03-01,0,0,0,0
2,2018-03-03,0,0,0,0
2,2018-03-05,0,0,0,0
2,2018-03-06,0,0,0,0
2,2018-03-08,3,2,0,9
2,2018-03-10,3,2,1,17
2,2018-03-12,3,0,2,11
2,2018-03-14,1,2,1,22
2,2018-03-16,4,1,1,4
2,2018-03-19,3,2,0,23
2,2018-03-21,4,1,1,16
2,2018-03-23,4,2,0,14
2,2018-03-25,1,1,3,8
2,2018-03-27,1,0,0,6
